pageID,captionID,image_url,caption
0,0,http://newyorksocialdiary.com/wp-content/uploads/2019/03/aw_81365_Guests.jpg,"Guests at the home of María Eugenia Maury and William Haseltine for a pre-gala soirée for El Museo’s upcoming Gala.
"
0,1,https://nysd-9904cefd.cdn.sitedistrict.com/wp-content/uploads/2019/03/aw_81278_William-Haseltine-Maria-Eugenia-Maury.jpg?fsum=c5ce05c426c3,William Haseltine and Maria Eugenia Maury
0,2,https://nysd-9904cefd.cdn.sitedistrict.com/wp-content/uploads/2019/03/aw_81315_Alejandra-Cicognani-Patrick-Charpenel.jpg?fsum=43d7ef141221,Alejandra Cicognani and Patrick Charpenel
0,3,https://nysd-9904cefd.cdn.sitedistrict.com/wp-content/uploads/2019/03/aw_81280_Alex-Morris-Javier-Morales-Anne-Dayton.jpg?fsum=6f39352651fd,"Alex Morris, Javier Morales, and Anne Dayton"
0,4,https://nysd-9904cefd.cdn.sitedistrict.com/wp-content/uploads/2019/03/aw_81285_Andrew-Bevan-William-Haseltine.jpg?fsum=0d5e2afbcd77,Andrew Bevan and William Haseltine
0,5,https://nysd-9904cefd.cdn.sitedistrict.com/wp-content/uploads/2019/03/aw_81286_John-Seery-Danny-Baez-Ignacio-Galan.jpg?fsum=cdd19bbe2772,"John Seery, Danny Baez, and Ignacio Galan"
0,6,https://nysd-9904cefd.cdn.sitedistrict.com/wp-content/uploads/2019/03/aw_81297_Paula-Froelich-Debbie-Bancroft.jpg?fsum=9fe690ffca79,Paula Froelich and Debbie Bancroft
0,7,https://nysd-9904cefd.cdn.sitedistrict.com/wp-content/uploads/2019/03/aw_81304_Maria-Eugenia-Maury-Claudia-Marmolejo-Camila-Sarmiento.jpg?fsum=dfbdf5dd1336,"Maria Eugenia Maury, Claudia Marmolejo, and Camila Sarmiento"
0,8,https://nysd-9904cefd.cdn.sitedistrict.com/wp-content/uploads/2019/03/Untitled-3-22.jpg?fsum=eb69f879460a,L to R.: Yamina Mohattane and Nora Orallo; Victoria Wyman and Sana Sabbagh
0,9,https://nysd-9904cefd.cdn.sitedistrict.com/wp-content/uploads/2019/03/aw_81317_Dan-Pollock-Anna-Discornia.jpg?fsum=3bb565021f6e,Dan Pollock and Anna Discornia
